atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,27.15,..9.99,1.66,24.27..33.44,9.34,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.49,..0.97
..9.88,27.15,..9.99,6.68,24.27..33.44,4.32,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.52,..0.97
..9.88,27.15,..9.99,4.19,24.27..33.44,6.81,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.6,..0.97
..9.88,27.15,..9.99,6.2,24.27..33.44,4.8,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.5,..0.97
..9.88,27.15,..9.99,3.95,24.27..33.44,7.05,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.51,..0.97
..9.88,27.15,..9.99,5.67,24.27..33.44,5.33,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.51,..0.97
..9.88,27.15,..9.99,2.88,24.27..33.44,8.12,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.49,..0.97
..9.88,27.15,..9.99,1.99,24.27..33.44,9.01,1.66..2.4,..99.92,26.78..,2.38..,0.43..0.52,236.03..817.08,87.57..98.38,88.54..,0.61,..0.97
..9.88,100,..9.99,7.38,64.18..76.88,24.62,4.32..8.09,..99.92,9.54..22.13,2.38..,0.43..0.52,..184.92,63.4..87.12,88.54..,0.53,..0.97
..9.88,0.18,..9.99,7,64.18..76.88,25,4.32..8.09,..99.92,9.54..22.13,2.38..,0.43..0.52,..184.92,63.4..87.12,88.54..,0.02,..0.97
..9.88,45.08,..9.99,11.2,24.27..33.44,5.8,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.59,..0.97
..9.88,45.08,..9.99,10.21,24.27..33.44,6.79,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.43,..0.97
..9.88,45.08,..9.99,7.98,24.27..33.44,9.02,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.62,..0.97
..9.88,45.08,..9.99,8.26,24.27..33.44,8.74,..1.65,..99.92,26.78..,2.38..,0.52..0.66,..184.92,47.82..63.02,88.54..,0.54,..0.97
