atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,65.36,..9.99,8.99,33.61..64.18,24.01,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,13.03,33.61..64.18,19.97,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,12.35,33.61..64.18,20.65,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,14.94,33.61..64.18,18.06,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.25,..0.97
..9.88,65.36,..9.99,16.4,33.61..64.18,16.6,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.28,..0.97
..9.88,0.94,..9.99,6,33.61..64.18,27,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.02,..0.97
..9.88,65.36,..9.99,16.4,33.61..64.18,16.6,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.18,..0.97
..9.88,65.36,..9.99,6.88,33.61..64.18,26.12,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.17,..0.97
..9.88,65.36,..9.99,10.54,33.61..64.18,22.46,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,16.12,33.61..64.18,16.88,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,7.75,33.61..64.18,25.25,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,11.28,33.61..64.18,21.72,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.21,..0.97
..9.88,65.36,..9.99,15.24,33.61..64.18,17.76,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.19,..0.97
..9.88,65.36,..9.99,14.64,33.61..64.18,18.36,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.17,..0.97
..9.88,65.36,..9.99,8.58,33.61..64.18,24.42,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.28,..0.97
..9.88,65.36,..9.99,15.54,33.61..64.18,17.46,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.27,..0.97
..9.88,65.36,..9.99,9.38,33.61..64.18,23.62,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.15,..0.97
..9.88,65.36,..9.99,6.44,33.61..64.18,26.56,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.26,..0.97
..9.88,65.36,..9.99,11.65,33.61..64.18,21.35,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.21,..0.97
..9.88,65.36,..9.99,10.16,33.61..64.18,22.84,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.24,..0.97
..9.88,65.36,..9.99,8.17,33.61..64.18,24.83,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.2,..0.97
..9.88,65.36,..9.99,13.69,33.61..64.18,19.31,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.25,..0.97
..9.88,65.36,..9.99,15.83,33.61..64.18,17.17,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.29,..0.97
..9.88,65.36,..9.99,14.33,33.61..64.18,18.67,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.21,..0.97
..9.88,65.36,..9.99,7.32,33.61..64.18,25.68,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.2,..0.97
..9.88,65.36,..9.99,9.78,33.61..64.18,23.22,2.4..4.27,..99.92,9.54..22.13,..2.38,0.25..0.41,..184.92,36.85..44.64,14..30.61,0.27,..0.97
..9.88,0.57,..9.99,3,77.07..,14,4.32..8.09,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,63.4..87.12,14..30.61,0.11,..0.97
..9.88,100,..9.99,3.17,77.07..,13.83,4.32..8.09,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,63.4..87.12,14..30.61,0.89,..0.97
..9.88,94.85,..9.99,7.16,33.61..64.18,18.84,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.74,..0.97
..9.88,94.85,..9.99,7.73,33.61..64.18,18.27,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.64,..0.97
..9.88,94.85,..9.99,16.51,33.61..64.18,9.49,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.78,..0.97
..9.88,94.85,..9.99,10.37,33.61..64.18,15.63,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.66,..0.97
..9.88,94.85,..9.99,17.08,33.61..64.18,8.92,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.69,..0.97
..9.88,0.03,..9.99,4,33.61..64.18,22,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.05,..0.97
..9.88,94.85,..9.99,15.9,33.61..64.18,10.1,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.67,..0.97
..9.88,94.85,..9.99,9.37,33.61..64.18,16.63,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.66,..0.97
..9.88,94.85,..9.99,5.94,33.61..64.18,20.06,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.78,..0.97
..9.88,94.85,..9.99,14.2,33.61..64.18,11.8,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.77,..0.97
..9.88,94.85,..9.99,11.32,33.61..64.18,14.68,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.71,..0.97
..9.88,94.85,..9.99,16.8,33.61..64.18,9.2,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.77,..0.97
..9.88,94.85,..9.99,9.88,33.61..64.18,16.12,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.71,..0.97
..9.88,94.85,..9.99,10.85,33.61..64.18,15.15,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.72,..0.97
..9.88,94.85,..9.99,6.56,33.61..64.18,19.44,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.63,..0.97
..9.88,94.85,..9.99,8.84,33.61..64.18,17.16,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.7,..0.97
..9.88,94.85,..9.99,17.08,33.61..64.18,8.92,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.82,..0.97
..9.88,94.85,..9.99,15.58,33.61..64.18,10.42,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,98.38..,14..30.61,0.76,..0.97
..9.88,94.85,..9.99,4.65,33.61..64.18,21.35,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.75,..0.97
..9.88,94.85,..9.99,13.82,33.61..64.18,12.18,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.73,..0.97
..9.88,94.85,..9.99,13.44,33.61..64.18,12.56,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.8,..0.97
..9.88,94.85,..9.99,15.25,33.61..64.18,10.75,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.75,..0.97
..9.88,94.85,..9.99,14.56,33.61..64.18,11.44,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.69,..0.97
..9.88,94.85,..9.99,5.31,33.61..64.18,20.69,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.64,..0.97
..9.88,94.85,..9.99,14.91,33.61..64.18,11.09,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.66,..0.97
..9.88,94.85,..9.99,16.21,33.61..64.18,9.79,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.77,..0.97
..9.88,94.85,..9.99,13.04,33.61..64.18,12.96,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.67,..0.97
..9.88,94.85,..9.99,11.77,33.61..64.18,14.23,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.65,..0.97
..9.88,94.85,..9.99,12.63,33.61..64.18,13.37,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.75,..0.97
..9.88,94.85,..9.99,12.2,33.61..64.18,13.8,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.78,..0.97
..9.88,94.85,..9.99,8.3,33.61..64.18,17.7,2.4..4.27,..99.92,26.78..,2.38..,..0.25,822.37..,87.57..98.38,14..30.61,0.66,..0.97
..9.88,100,..9.99,8.26,77.07..,23.74,4.32..8.09,..99.92,26.78..,2.38..,0.52..0.66,..184.92,63.4..87.12,14..30.61,0.54,..0.97
..9.88,0.85,..9.99,8,77.07..,24,4.32..8.09,..99.92,26.78..,2.38..,0.52..0.66,..184.92,63.4..87.12,14..30.61,0.01,..0.97
..9.88,100,..9.99,5.28,33.61..64.18,12.72,4.32..8.09,..99.92,26.78..,2.38..,0.9..,..184.92,87.57..98.38,14..30.61,0.92,..0.97
..9.88,0.08,..9.99,5,33.61..64.18,13,4.32..8.09,..99.92,26.78..,2.38..,0.9..,..184.92,87.57..98.38,14..30.61,0.12,..0.97
..9.88,100,..9.99,9.16,77.07..,14.84,..1.65,..99.92,26.78..,2.38..,0.66..0.79,822.37..,63.4..87.12,14..30.61,0.78,..0.97
..9.88,0.19,..9.99,9,77.07..,15,..1.65,..99.92,26.78..,2.38..,0.66..0.79,822.37..,63.4..87.12,14..30.61,0.08,..0.97
..9.88,100,..9.99,1.31,77.07..,23.69,4.32..8.09,..99.92,..9.54,2.38..,0.8..0.89,236.03..817.08,10.82..27.53,14..30.61,0.82,..0.97
..9.88,0.89,..9.99,1,77.07..,24,4.32..8.09,..99.92,..9.54,2.38..,0.8..0.89,822.37..,10.82..27.53,14..30.61,0.03,..0.97
..9.88,51.41,..9.99,3.3,33.61..64.18,15.7,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.5,..0.97
..9.88,51.41,..9.99,4.96,33.61..64.18,14.04,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.46,..0.97
..9.88,51.41,..9.99,8.12,33.61..64.18,10.88,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.64,..0.97
..9.88,51.41,..9.99,6.44,33.61..64.18,12.56,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.46,..0.97
..9.88,51.41,..9.99,4.73,33.61..64.18,14.27,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.46,..0.97
..9.88,51.41,..9.99,7.41,33.61..64.18,11.59,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.47,..0.97
..9.88,51.41,..9.99,7.95,33.61..64.18,11.05,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.45,..0.97
..9.88,51.41,..9.99,8.3,33.61..64.18,10.7,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.52,..0.97
..9.88,51.41,..9.99,4.03,33.61..64.18,14.97,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.5,..0.97
..9.88,51.41,..9.99,7.03,33.61..64.18,11.97,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.39,..0.97
..9.88,51.41,..9.99,4.27,33.61..64.18,14.73,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.39,..0.97
..9.88,51.41,..9.99,5.62,33.61..64.18,13.38,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.43,..0.97
..9.88,51.41,..9.99,2.26,33.61..64.18,16.74,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.42,..0.97
..9.88,51.41,..9.99,6.04,33.61..64.18,12.96,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.46,..0.97
..9.88,51.41,..9.99,5.18,33.61..64.18,13.82,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.51,..0.97
..9.88,51.41,..9.99,7.22,33.61..64.18,11.78,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.51,..0.97
..9.88,51.41,..9.99,2.79,33.61..64.18,16.21,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.5,..0.97
..9.88,0.74,..9.99,2,33.61..64.18,17,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.19,..0.97
..9.88,51.41,..9.99,2.53,33.61..64.18,16.47,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.46,..0.97
..9.88,51.41,..9.99,5.4,33.61..64.18,13.6,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.47,..0.97
..9.88,51.41,..9.99,4.5,33.61..64.18,14.5,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.47,..0.97
..9.88,51.41,..9.99,5.83,33.61..64.18,13.17,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.47,..0.97
..9.88,51.41,..9.99,3.05,33.61..64.18,15.95,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.39,..0.97
..9.88,51.41,..9.99,7.59,33.61..64.18,11.41,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.44,..0.97
..9.88,51.41,..9.99,3.55,33.61..64.18,15.45,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.48,..0.97
..9.88,51.41,..9.99,8.3,33.61..64.18,10.7,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.45,..0.97
..9.88,51.41,..9.99,6.24,33.61..64.18,12.76,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.54,..0.97
..9.88,51.41,..9.99,7.77,33.61..64.18,11.23,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.47,..0.97
..9.88,51.41,..9.99,6.64,33.61..64.18,12.36,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.48,..0.97
..9.88,51.41,..9.99,6.84,33.61..64.18,12.16,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.5,..0.97
..9.88,51.41,..9.99,3.79,33.61..64.18,15.21,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,822.37..,63.4..87.12,14..30.61,0.46,..0.97
..9.88,35.05,..9.99,20.45,10.66..21.69,6.55,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.27,..0.97
..9.88,35.05,..9.99,21.65,10.66..21.69,5.35,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.25,..0.97
..9.88,35.05,..9.99,21.92,10.66..21.69,5.08,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.22,..0.97
..9.88,35.05,..9.99,11.47,10.66..21.69,15.53,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.11,..0.97
..9.88,35.05,..9.99,18.55,10.66..21.69,8.45,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.22,..0.97
..9.88,35.05,..9.99,15.55,10.66..21.69,11.45,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.2,..0.97
..9.88,35.05,..9.99,17.16,10.66..21.69,9.84,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.13,..0.97
..9.88,35.05,..9.99,16.65,10.66..21.69,10.35,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.24,..0.97
..9.88,35.05,..9.99,22.17,10.66..21.69,4.83,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.29,..0.97
..9.88,35.05,..9.99,17.65,10.66..21.69,9.35,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.18,..0.97
..9.88,35.05,..9.99,7.98,10.66..21.69,19.02,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.14,..0.97
..9.88,35.05,..9.99,21.37,10.66..21.69,5.63,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.17,..0.97
..9.88,35.05,..9.99,21.08,10.66..21.69,5.92,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.2,..0.97
..9.88,35.05,..9.99,13.66,10.66..21.69,13.34,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.17,..0.97
..9.88,35.05,..9.99,19.75,10.66..21.69,7.25,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.26,..0.97
..9.88,35.05,..9.99,14.95,10.66..21.69,12.05,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.2,..0.97
..9.88,35.05,..9.99,8.92,10.66..21.69,18.08,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.19,..0.97
..9.88,35.05,..9.99,6.99,10.66..21.69,20.01,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.24,..0.97
..9.88,35.05,..9.99,20.77,10.66..21.69,6.23,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.19,..0.97
..9.88,35.05,..9.99,18.11,10.66..21.69,8.89,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.14,..0.97
..9.88,35.05,..9.99,16.11,10.66..21.69,10.89,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.22,..0.97
..9.88,0.57,..9.99,6,10.66..21.69,21,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.03,..0.97
..9.88,35.05,..9.99,14.32,10.66..21.69,12.68,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.21,..0.97
..9.88,35.05,..9.99,19.37,10.66..21.69,7.63,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.13,..0.97
..9.88,35.05,..9.99,12.24,10.66..21.69,14.76,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.17,..0.97
..9.88,35.05,..9.99,20.11,10.66..21.69,6.89,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.2,..0.97
..9.88,35.05,..9.99,22.17,10.66..21.69,4.83,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.24,..0.97
..9.88,35.05,..9.99,10.66,10.66..21.69,16.34,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.18,..0.97
..9.88,35.05,..9.99,12.97,10.66..21.69,14.03,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.23,..0.97
..9.88,35.05,..9.99,9.81,10.66..21.69,17.19,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.19,..0.97
..9.88,35.05,..9.99,18.97,10.66..21.69,8.03,1.66..2.4,..99.92,26.78..,..2.38,0.25..0.41,236.03..817.08,63.4..87.12,14..30.61,0.21,..0.97
..9.88,21.34,..9.99,8.4,77.07..,8.6,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.37,..0.97
..9.88,21.34,..9.99,8.96,77.07..,8.04,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.2,..0.97
..9.88,21.34,..9.99,8.21,77.07..,8.79,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.26,..0.97
..9.88,21.34,..9.99,7.16,77.07..,9.84,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.18,..0.97
..9.88,21.34,..9.99,7.7,77.07..,9.3,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.28,..0.97
..9.88,21.34,..9.99,7.8,77.07..,9.2,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.18,..0.97
..9.88,21.34,..9.99,7.91,77.07..,9.09,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.26,..0.97
..9.88,21.34,..9.99,6.6,77.07..,10.4,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.27,..0.97
..9.88,21.34,..9.99,6.48,77.07..,10.52,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.26,..0.97
..9.88,21.34,..9.99,8.78,77.07..,8.22,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.25,..0.97
..9.88,0.33,..9.99,6,77.07..,11,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.19,..0.97
..9.88,21.34,..9.99,8.59,77.07..,8.41,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.27,..0.97
..9.88,21.34,..9.99,6.83,77.07..,10.17,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.28,..0.97
..9.88,21.34,..9.99,8.87,77.07..,8.13,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.25,..0.97
..9.88,21.34,..9.99,6.94,77.07..,10.06,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.34,..0.97
..9.88,21.34,..9.99,8.11,77.07..,8.89,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.3,..0.97
..9.88,21.34,..9.99,9.05,77.07..,7.95,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.24,..0.97
..9.88,21.34,..9.99,9.05,77.07..,7.95,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.3,..0.97
..9.88,21.34,..9.99,8.01,77.07..,8.99,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.26,..0.97
..9.88,21.34,..9.99,7.59,77.07..,9.41,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.22,..0.97
..9.88,21.34,..9.99,6.36,77.07..,10.64,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.29,..0.97
..9.88,21.34,..9.99,6.12,77.07..,10.88,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.25,..0.97
..9.88,21.34,..9.99,7.38,77.07..,9.62,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.21,..0.97
..9.88,21.34,..9.99,8.3,77.07..,8.7,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.23,..0.97
..9.88,21.34,..9.99,7.05,77.07..,9.95,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.21,..0.97
..9.88,21.34,..9.99,8.68,77.07..,8.32,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.3,..0.97
..9.88,21.34,..9.99,7.49,77.07..,9.51,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.27,..0.97
..9.88,21.34,..9.99,6.71,77.07..,10.29,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.24,..0.97
..9.88,21.34,..9.99,7.27,77.07..,9.73,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.3,..0.97
..9.88,21.34,..9.99,8.5,77.07..,8.5,..1.65,..99.92,..9.54,2.38..,0.66..0.79,..184.92,10.82..27.53,14..30.61,0.24,..0.97
